Name,Location,TypeId,TypeData,Scope,LineNumbers
main,4,function,void,global,11
input,7,call,-,main,13 13
u,1,variable,integer,gcd,4 6 7 7
y,6,variable,integer,main,12 13 14
gcd,3,call,-,gcd,7
gcd,10,call,-,main,14
gcd,0,function,integer,global,4
v,2,variable,integer,gcd,4 6 7 7 7
x,5,variable,integer,main,12 13 14
output,9,call,-,main,14
