Name,Location,TypeId,TypeData,Scope,LineNumbers
main,0,function,void,global,1
input,3,call,-,main,4 5
y,2,variable,integer,main,3 5 6 9
x,1,variable,integer,main,3 4 6 7
output,5,call,-,main,7 9
